"","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG","Top_25","Top_10"
"1",55.42,291.7,63.11,28.06,64.3,70.888,0.581,0.234,-0.363,-0.382,0.398,"No","No"
"2",63.33,302.9,68.81,29.15,56.28,70.247,0.238,0.703,0.41,0.012,0.042,"Yes","No"
"3",63.64,296.1,66.49,28.91,62.69,70.659,-0.056,0.32,0.325,0.074,-0.022,"No","No"
"5",65.6,289.4,68.04,29.26,58.59,70.75,0.106,0.596,0.057,0.166,0.267,"Yes","No"
"6",55.55,304.6,70.76,29.5,59.5,69.47,-0.168,1.894,0.522,1.491,0.049,"Yes","Yes"
"7",62.51,304.6,70.66,30.15,54.85,70.42,-0.285,0.779,0.3,0.639,0.125,"No","No"
"8",62.92,291.1,65.63,28.96,56.97,71.059,-0.01,-0.039,0.206,-0.083,-0.152,"No","No"
"9",60.42,293.8,70.47,29.36,61.52,70.579,0.052,0.472,-0.146,0.38,0.187,"Yes","No"
"11",66.76,292.3,66.51,28.72,62.02,70.469,0.315,0.569,0.12,-0.045,0.179,"No","No"
"12",60.47,300,67.95,28.92,60,70.574,0.685,0.584,0.281,-0.395,0.013,"No","No"
"13",65.09,288.1,68.7,29.64,54.04,70.95,0.127,0.28,-0.016,0.268,-0.1,"No","No"
"14",62.14,288.8,66.73,29.26,54.84,71.282,0.14,0.023,0.079,0.081,-0.277,"No","No"
"15",63.35,290.7,68.8,29.58,61.9,70.672,-0.229,0.46,0.14,0.422,0.126,"Yes","No"
"16",62.34,289.6,67.14,29.44,63.3,70.444,-0.174,0.519,0.068,0.272,0.353,"No","No"
"18",63.77,295,69.33,29.71,57.61,71.05,0.244,0.446,0.366,0.137,-0.301,"No","No"
"19",60.71,293,67.7,29.5,54.55,70.548,0.076,0.81,0.352,0.493,-0.112,"Yes","No"
"21",67.8,295.4,71.75,29.46,58.03,70.154,0.392,1.112,0.538,0.352,-0.169,"Yes","Yes"
"22",55.14,295.6,66.76,29.28,59.05,70.204,-0.105,0.855,0.326,0.603,0.032,"No","No"
"23",60.98,288.4,64.97,28.26,63.27,70.158,0.588,0.607,-0.126,-0.199,0.344,"No","No"
"24",58.69,292.6,65.67,28.66,62.73,70.203,0.343,0.86,0.032,0.176,0.31,"Yes","No"
"25",62.79,293.1,65.04,28.63,60.08,70.379,0.478,0.625,-0.145,-0.026,0.318,"No","No"
"26",61.13,302.9,68.52,29.13,60.08,70.413,-0.047,0.958,0.363,0.6,0.041,"Yes","No"
"27",60.29,302.2,68.72,29.8,54.76,70.855,-0.257,0.275,0.449,0.272,-0.189,"No","No"
"29",60.47,310.3,69.24,30.36,52.56,71.021,-0.576,0.029,0.557,0.243,-0.195,"No","No"
"30",70.24,276.4,65.47,28.39,62.63,70.533,0.582,0.83,-0.168,0.136,0.28,"Yes","No"
"31",71.37,282.9,64.52,28.25,63.26,70.28,0.442,0.565,-0.166,0.036,0.253,"No","No"
"32",64.37,287.9,66.67,29.09,59.63,70.647,0.236,0.413,0.322,-0.176,0.03,"No","No"
"33",63.41,289.7,64.85,28.64,61.4,70.996,0.485,0.26,0.257,-0.622,0.14,"Yes","No"
"35",67.14,291.9,67.59,29.29,56.95,70.536,0.273,0.29,0.137,-0.024,-0.096,"No","No"
"36",71.07,277.7,63.3,28.76,62.16,71.242,-0.022,-0.093,-0.1,-0.11,0.14,"No","No"
"37",64.45,296.7,66.78,29.34,58.63,71.018,-0.076,-0.31,0.188,-0.144,-0.278,"No","No"
