"","Top_25","Top_10","Rounds","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG"
"2","No","No",93,55.42,291.7,63.11,28.06,64.3,70.888,0.581,0.234,-0.363,-0.382,0.398
"3","Yes","Yes",90,63.33,302.9,68.81,29.15,56.28,70.247,0.238,0.703,0.41,0.012,0.042
"5","Yes","No",95,65.43,288.2,66.55,29.15,58.39,71.021,0.235,0.183,0.088,-0.183,0.044
"6","Yes","No",93,63.62,290.1,66.07,28.55,58.27,70.719,0.529,0.526,0.152,-0.061,-0.094
"8","Yes","No",92,65.6,289.4,68.04,29.26,58.59,70.75,0.106,0.596,0.057,0.166,0.267
"9","Yes","Yes",79,55.55,304.6,70.76,29.5,59.5,69.47,-0.168,1.894,0.522,1.491,0.049
"10","Yes","Yes",78,62.51,304.6,70.66,30.15,54.85,70.42,-0.285,0.779,0.3,0.639,0.125
"11","No","No",94,63.78,283.3,65.7,28.93,60.39,71.117,-0.232,-0.217,-0.233,0.113,0.135
"12","No","No",77,66.49,286.7,63.77,28.52,64,70.675,0.009,0.312,-0.024,-0.169,0.495
"13","No","No",84,62.03,295.2,70.14,30.04,53.02,71.089,-0.055,-0.004,0.319,-0.085,-0.183
"17","No","No",82,62.92,291.1,65.63,28.96,56.97,71.059,-0.01,-0.039,0.206,-0.083,-0.152
"18","No","No",75,45.56,309.3,63.41,28.63,52.83,71.423,0.301,-0.115,0.038,-0.295,-0.158
"19","No","No",97,60.42,293.8,70.47,29.36,61.52,70.579,0.052,0.472,-0.146,0.38,0.187
"20","No","No",72,56.31,291.7,62.88,28.88,56.4,71.139,-0.02,0.068,0.025,0.143,-0.08
"22","No","No",82,60.09,294,64.7,28.99,58.35,70.66,0.199,0.104,0.07,-0.285,0.12
"23","No","No",107,66.76,292.3,66.51,28.72,62.02,70.469,0.315,0.569,0.12,-0.045,0.179
